coin_id,date,open_usd,high_usd,low_usd,close_usd,volume_usd,market_cap_usd,extracted_at
staked-ether,2026-04-29,2308.12,2392.54,2257.58,2281.11,15709608.213679576,21283161762.481823,2026-05-14 21:47:47
staked-ether,2026-05-03,2282.47,2340.63,2221.12,2312.27,6397364.861214917,20986368857.023216,2026-05-14 21:47:47
staked-ether,2026-05-07,2312.49,2418.02,2295.49,2346.99,24009410.40590067,21168695358.124847,2026-05-14 21:47:47
staked-ether,2026-05-11,2347.88,2377.53,2268.37,2373.97,17366102.587384187,20808115402.13062,2026-05-14 21:47:47
cardano,2026-02-12,0.269714,0.270089,0.251403,0.255334,,,2026-05-14 21:47:51
cardano,2026-02-16,0.255514,0.30059,0.255514,0.281763,549242071.9014269,10368012793.010773,2026-05-14 21:47:51
cardano,2026-02-20,0.281747,0.289253,0.268237,0.272487,323266710.37285775,10033143620.649017,2026-05-14 21:47:51
cardano,2026-02-24,0.272669,0.292005,0.258928,0.262257,471484774.6646045,9656024887.362213,2026-05-14 21:47:51
cardano,2026-02-28,0.262211,0.312177,0.25472,0.277551,481948228.9757182,10218319657.64662,2026-05-14 21:47:51
cardano,2026-03-04,0.277551,0.290822,0.260116,0.263157,679079183.9237806,9690820896.130474,2026-05-14 21:47:51
cardano,2026-03-08,0.262786,0.284191,0.252579,0.254715,329456304.1086405,9380225244.496065,2026-05-14 21:47:51
cardano,2026-03-12,0.254658,0.272758,0.247682,0.262577,451161051.5471935,9671456629.544138,2026-05-14 21:47:51
cardano,2026-03-16,0.262536,0.280168,0.258206,0.26962,356863114.0877455,9931306180.443811,2026-05-14 21:47:51
cardano,2026-03-20,0.269806,0.293754,0.263103,0.267053,429264607.13101697,9833639608.307167,2026-05-14 21:47:51
cardano,2026-03-24,0.267344,0.272712,0.248347,0.261278,645926457.0457813,9627231341.92694,2026-05-14 21:47:51
cardano,2026-03-28,0.261507,0.275728,0.245191,0.24599,495312467.6664771,9065137256.698591,2026-05-14 21:47:51
cardano,2026-04-01,0.245904,0.251686,0.235356,0.241695,472649859.1100496,8907947775.965868,2026-05-14 21:47:51
cardano,2026-04-05,0.24176,0.252854,0.235293,0.247831,236623446.9508601,9139960171.399788,2026-05-14 21:47:51
cardano,2026-04-09,0.247932,0.265512,0.240863,0.250624,451597521.8265974,9244038927.794779,2026-05-14 21:47:51
cardano,2026-04-13,0.250793,0.258969,0.235723,0.236128,480019028.6193192,8720034137.691711,2026-05-14 21:47:51
cardano,2026-04-17,0.236229,0.259967,0.236229,0.259417,640797794.2589658,9586698302.130733,2026-05-14 21:47:51
cardano,2026-04-21,0.259269,0.266982,0.241454,0.248218,476647468.2277773,9177612435.285776,2026-05-14 21:47:51
cardano,2026-04-25,0.248184,0.257076,0.244687,0.250408,295088755.0493712,9257561854.966825,2026-05-14 21:47:51
cardano,2026-04-29,0.250412,0.25574,0.244056,0.246766,254110042.14541602,9118239657.595806,2026-05-14 21:47:51
cardano,2026-05-03,0.246727,0.25365,0.239317,0.250109,210393922.5886923,9248246083.389046,2026-05-14 21:47:51
cardano,2026-05-07,0.25005,0.273056,0.247563,0.266604,552188870.2947553,9856685644.257177,2026-05-14 21:47:51
cardano,2026-05-11,0.266727,0.288265,0.260712,0.282895,548673129.4572612,10477170233.21779,2026-05-14 21:47:51
avalanche-2,2026-02-12,9.05,9.09,8.48,8.63,,,2026-05-14 21:48:55
avalanche-2,2026-02-16,8.63,9.71,8.63,9.28,262028662.14720035,4005660180.8354893,2026-05-14 21:48:55
avalanche-2,2026-02-20,9.28,9.38,8.69,8.9,223611377.95051444,3842670668.726182,2026-05-14 21:48:55
avalanche-2,2026-02-24,8.9,9.41,8.29,8.36,329815807.3786235,3609662517.095452,2026-05-14 21:48:55
avalanche-2,2026-02-28,8.36,9.78,8.21,8.96,333698507.2131366,3867925523.908717,2026-05-14 21:48:55
avalanche-2,2026-03-04,8.96,9.43,8.46,9.18,320013075.44623715,3965457864.4724927,2026-05-14 21:48:55
avalanche-2,2026-03-08,9.18,9.72,8.89,8.91,163974836.47892338,3845432930.7664995,2026-05-14 21:48:55
avalanche-2,2026-03-12,8.91,9.91,8.75,9.55,267427185.52043533,4123417252.2411804,2026-05-14 21:48:55
avalanche-2,2026-03-16,9.55,10.25,9.45,9.93,228987492.72790298,4285393917.7464194,2026-05-14 21:48:55
avalanche-2,2026-03-20,9.94,10.5,9.35,9.47,250541014.41511986,4086609976.4732594,2026-05-14 21:48:55
avalanche-2,2026-03-24,9.47,9.72,8.91,9.52,397454542.24913347,4112440836.7673855,2026-05-14 21:48:55
avalanche-2,2026-03-28,9.55,9.77,8.68,8.78,322165139.56767184,3789077751.1896267,2026-05-14 21:48:55
avalanche-2,2026-04-01,8.78,9.04,8.45,8.9,210578063.03878418,3843037031.529085,2026-05-14 21:48:55
avalanche-2,2026-04-05,8.91,9.42,8.63,8.98,118330854.95343673,3877181591.066971,2026-05-14 21:48:55
avalanche-2,2026-04-09,8.99,9.62,8.51,9.06,350803407.4610751,3911927968.038106,2026-05-14 21:48:55
avalanche-2,2026-04-13,9.06,9.59,8.94,9.04,224085599.70083913,3900513639.7191505,2026-05-14 21:48:55
avalanche-2,2026-04-17,9.03,9.84,9.01,9.73,397621557.343973,4202679757.2772174,2026-05-14 21:48:55
avalanche-2,2026-04-21,9.73,9.97,8.99,9.28,332715498.4332134,4006849770.67509,2026-05-14 21:48:55
avalanche-2,2026-04-25,9.28,9.66,9.2,9.4,156444117.96820086,4056923486.814185,2026-05-14 21:48:55
avalanche-2,2026-04-29,9.4,9.55,9.12,9.17,152531585.93993136,3958400976.4900804,2026-05-14 21:48:55
avalanche-2,2026-05-03,9.17,9.43,8.95,9.18,110679902.68511996,3966184607.622607,2026-05-14 21:48:55
avalanche-2,2026-05-07,9.18,9.77,9.0,9.6,317966522.77760744,4146890722.9027643,2026-05-14 21:48:55
avalanche-2,2026-05-11,9.61,10.47,9.41,10.25,309107277.39972985,4430491753.596685,2026-05-14 21:48:55
